date;station;CO;NO2;O3;PM10;PM2.5;SO2;hour;weekday;monthday;week;month;quarter;year
2017-01-01 14:00:00;aotizhongxin_aq;7.2;156.0;3.0;467.0;453.0;9.0;14;6;1;52;1;1;2017
2017-01-01 14:00:00;badaling_aq;1.5;84.0;2.0;115.0;87.0;49.0;14;6;1;52;1;1;2017
2017-01-01 15:00:00;aotizhongxin_aq;6.8;143.0;2.0;443.0;417.0;8.0;15;6;1;52;1;1;2017
2017-01-01 15:00:00;badaling_aq;0.9;59.0;24.0;115.0;58.0;32.0;15;6;1;52;1;1;2017
2017-01-01 16:00:00;aotizhongxin_aq;6.9;141.0;3.0;467.0;395.0;8.0;16;6;1;52;1;1;2017
2017-01-01 16:00:00;badaling_aq;0.7;38.0;45.0;41.0;30.0;22.0;16;6;1;52;1;1;2017
2017-01-01 17:00:00;aotizhongxin_aq;7.4;139.0;3.0;484.0;420.0;9.0;17;6;1;52;1;1;2017
2017-01-01 17:00:00;badaling_aq;0.8;40.0;42.0;39.0;23.0;23.0;17;6;1;52;1;1;2017
2017-01-01 18:00:00;aotizhongxin_aq;7.6;157.0;4.0;520.0;453.0;9.0;18;6;1;52;1;1;2017
2017-01-01 18:00:00;badaling_aq;0.8;51.0;29.0;43.0;20.0;24.0;18;6;1;52;1;1;2017
2017-01-01 19:00:00;aotizhongxin_aq;6.5;141.0;3.0;520.0;429.0;9.0;19;6;1;52;1;1;2017
2017-01-01 19:00:00;badaling_aq;0.8;46.0;31.0;42.0;21.0;21.0;19;6;1;52;1;1;2017
2017-01-01 20:00:00;aotizhongxin_aq;3.3;110.0;3.0;520.0;211.0;11.0;20;6;1;52;1;1;2017
2017-01-01 20:00:00;badaling_aq;0.6;33.0;46.0;32.0;15.0;16.0;20;6;1;52;1;1;2017
2017-01-01 21:00:00;aotizhongxin_aq;2.2;87.0;4.0;520.0;116.0;13.0;21;6;1;52;1;1;2017
2017-01-01 21:00:00;badaling_aq;0.6;32.0;48.0;35.0;11.0;18.0;21;6;1;52;1;1;2017
2017-01-01 22:00:00;aotizhongxin_aq;1.3;58.0;26.0;520.0;51.0;14.0;22;6;1;52;1;1;2017
2017-01-01 22:00:00;badaling_aq;0.7;29.0;49.0;33.0;15.0;17.0;22;6;1;52;1;1;2017
2017-01-01 23:00:00;aotizhongxin_aq;1.1;55.0;28.0;520.0;38.0;14.0;23;6;1;52;1;1;2017
2017-01-01 23:00:00;badaling_aq;0.6;24.0;55.0;35.0;15.0;15.0;23;6;1;52;1;1;2017
2017-01-02 00:00:00;aotizhongxin_aq;0.7;40.0;42.0;520.0;21.0;16.0;0;0;2;1;1;1;2017
2017-01-02 00:00:00;badaling_aq;0.6;21.0;56.0;28.0;16.0;13.0;0;0;2;1;1;1;2017
2017-01-02 01:00:00;aotizhongxin_aq;0.8;40.0;44.0;520.0;16.0;18.0;1;0;2;1;1;1;2017
2017-01-02 01:00:00;badaling_aq;0.6;22.0;58.0;18.0;17.0;17.0;1;0;2;1;1;1;2017
2017-01-02 02:00:00;aotizhongxin_aq;0.7;42.0;45.0;520.0;23.0;17.0;2;0;2;1;1;1;2017
2017-01-02 02:00:00;badaling_aq;0.5;18.0;64.0;24.0;15.0;16.0;2;0;2;1;1;1;2017
2017-01-02 03:00:00;aotizhongxin_aq;0.6;30.0;59.0;520.0;18.0;14.0;3;0;2;1;1;1;2017
2017-01-02 03:00:00;badaling_aq;0.5;17.0;66.0;22.0;16.0;15.0;3;0;2;1;1;1;2017
2017-01-02 04:00:00;aotizhongxin_aq;2.4;76.0;46.0;247.0;58.0;12.0;4;0;2;1;1;1;2017
2017-01-02 04:00:00;badaling_aq;0.6;20.0;67.0;36.0;15.0;18.0;4;0;2;1;1;1;2017
2017-01-02 05:00:00;aotizhongxin_aq;0.3;99.0;42.0;247.0;176.0;17.0;5;0;2;1;1;1;2017
2017-01-02 05:00:00;badaling_aq;0.6;24.0;65.0;55.0;18.0;19.0;5;0;2;1;1;1;2017
2017-01-02 06:00:00;aotizhongxin_aq;2.6;86.0;58.0;211.0;109.0;14.0;6;0;2;1;1;1;2017
2017-01-02 06:00:00;badaling_aq;0.7;31.0;62.0;49.0;25.0;22.0;6;0;2;1;1;1;2017
2017-01-02 07:00:00;aotizhongxin_aq;4.2;125.0;53.0;211.0;267.0;19.0;7;0;2;1;1;1;2017
2017-01-02 07:00:00;badaling_aq;0.7;37.0;59.0;50.0;29.0;25.0;7;0;2;1;1;1;2017
2017-01-02 08:00:00;aotizhongxin_aq;3.9;115.0;56.0;211.0;260.0;18.0;8;0;2;1;1;1;2017
2017-01-02 08:00:00;badaling_aq;0.7;49.0;49.0;51.0;30.0;26.0;8;0;2;1;1;1;2017
2017-01-02 09:00:00;aotizhongxin_aq;3.6;112.0;50.0;211.0;212.0;14.0;9;0;2;1;1;1;2017
2017-01-02 09:00:00;badaling_aq;0.6;59.0;38.0;59.0;29.0;23.0;9;0;2;1;1;1;2017
2017-01-02 10:00:00;aotizhongxin_aq;0.3;111.0;33.0;211.0;183.0;14.0;10;0;2;1;1;1;2017
2017-01-02 10:00:00;badaling_aq;0.7;67.0;26.0;58.0;29.0;22.0;10;0;2;1;1;1;2017
2017-01-02 11:00:00;aotizhongxin_aq;2.3;89.0;41.0;211.0;136.0;14.0;11;0;2;1;1;1;2017
2017-01-02 11:00:00;badaling_aq;0.1;72.0;27.0;91.0;47.0;18.0;11;0;2;1;1;1;2017
2017-01-02 12:00:00;aotizhongxin_aq;2.2;89.0;35.0;211.0;137.0;13.0;12;0;2;1;1;1;2017
2017-01-02 12:00:00;badaling_aq;1.3;84.0;18.0;109.0;70.0;17.0;12;0;2;1;1;1;2017
2017-01-02 13:00:00;aotizhongxin_aq;2.1;90.0;28.0;211.0;125.0;13.0;13;0;2;1;1;1;2017
2017-01-02 13:00:00;badaling_aq;1.5;92.0;10.0;136.0;75.0;19.0;13;0;2;1;1;1;2017
2017-01-02 14:00:00;aotizhongxin_aq;2.5;108.0;13.0;211.0;153.0;14.0;14;0;2;1;1;1;2017
2017-01-02 14:00:00;badaling_aq;1.5;95.0;3.0;139.0;85.0;20.0;14;0;2;1;1;1;2017
2017-01-02 15:00:00;aotizhongxin_aq;3.1;126.0;2.0;211.0;165.0;14.0;15;0;2;1;1;1;2017
2017-01-02 15:00:00;badaling_aq;1.9;98.0;2.0;122.0;91.0;29.0;15;0;2;1;1;1;2017
2017-01-02 16:00:00;aotizhongxin_aq;4.9;148.0;4.0;211.0;225.0;23.0;16;0;2;1;1;1;2017
2017-01-02 16:00:00;badaling_aq;1.7;91.0;3.0;115.0;91.0;31.0;16;0;2;1;1;1;2017
2017-01-02 17:00:00;aotizhongxin_aq;6.4;158.0;7.0;211.0;275.0;28.0;17;0;2;1;1;1;2017
2017-01-02 17:00:00;badaling_aq;1.2;79.0;2.0;96.0;66.0;27.0;17;0;2;1;1;1;2017
2017-01-02 18:00:00;aotizhongxin_aq;6.4;155.0;5.0;211.0;293.0;17.0;18;0;2;1;1;1;2017
2017-01-02 18:00:00;badaling_aq;1.4;75.0;2.0;87.0;63.0;24.0;18;0;2;1;1;1;2017
2017-01-02 19:00:00;aotizhongxin_aq;6.2;153.0;5.0;211.0;293.0;16.0;19;0;2;1;1;1;2017
2017-01-02 19:00:00;badaling_aq;0.9;68.0;2.0;69.0;54.0;23.0;19;0;2;1;1;1;2017
2017-01-02 20:00:00;aotizhongxin_aq;6.3;149.0;5.0;211.0;287.0;15.0;20;0;2;1;1;1;2017
2017-01-02 20:00:00;badaling_aq;0.1;65.0;2.0;114.0;49.0;22.0;20;0;2;1;1;1;2017
2017-01-02 21:00:00;aotizhongxin_aq;0.6;149.0;4.0;211.0;305.0;13.0;21;0;2;1;1;1;2017
2017-01-02 21:00:00;badaling_aq;1.5;63.0;2.0;116.0;63.0;23.0;21;0;2;1;1;1;2017
2017-01-02 22:00:00;aotizhongxin_aq;5.8;148.0;3.0;211.0;304.0;12.0;22;0;2;1;1;1;2017
2017-01-02 22:00:00;badaling_aq;2.3;71.0;3.0;126.0;96.0;44.0;22;0;2;1;1;1;2017
2017-01-02 23:00:00;aotizhongxin_aq;5.7;139.0;3.0;211.0;266.0;12.0;23;0;2;1;1;1;2017
2017-01-02 23:00:00;badaling_aq;2.3;71.0;3.0;123.0;93.0;47.0;23;0;2;1;1;1;2017
2017-01-03 00:00:00;aotizhongxin_aq;5.7;132.0;3.0;211.0;240.0;17.0;0;1;3;1;1;1;2017
2017-01-03 00:00:00;badaling_aq;2.2;72.0;2.0;123.0;89.0;46.0;0;1;3;1;1;1;2017
2017-01-03 01:00:00;aotizhongxin_aq;6.5;131.0;4.0;211.0;237.0;29.0;1;1;3;1;1;1;2017
2017-01-03 01:00:00;badaling_aq;3.1;66.0;5.0;157.0;111.0;27.0;1;1;3;1;1;1;2017
2017-01-03 02:00:00;aotizhongxin_aq;5.4;117.0;7.0;211.0;232.0;32.0;2;1;3;1;1;1;2017
2017-01-03 02:00:00;badaling_aq;3.3;69.0;9.0;158.0;131.0;41.0;2;1;3;1;1;1;2017
2017-01-03 03:00:00;aotizhongxin_aq;3.1;88.0;19.0;211.0;155.0;27.0;3;1;3;1;1;1;2017
2017-01-03 03:00:00;badaling_aq;1.9;56.0;26.0;103.0;97.0;51.0;3;1;3;1;1;1;2017
2017-01-03 04:00:00;aotizhongxin_aq;3.2;98.0;25.0;211.0;167.0;31.0;4;1;3;1;1;1;2017
2017-01-03 04:00:00;badaling_aq;0.1;37.0;52.0;106.0;50.0;41.0;4;1;3;1;1;1;2017
2017-01-03 05:00:00;aotizhongxin_aq;0.3;100.0;35.0;211.0;170.0;28.0;5;1;3;1;1;1;2017
2017-01-03 05:00:00;badaling_aq;0.6;26.0;71.0;99.0;36.0;25.0;5;1;3;1;1;1;2017
2017-01-03 06:00:00;aotizhongxin_aq;3.4;127.0;26.0;211.0;179.0;27.0;6;1;3;1;1;1;2017
2017-01-03 06:00:00;badaling_aq;0.4;19.0;84.0;56.0;25.0;13.0;6;1;3;1;1;1;2017
2017-01-03 07:00:00;aotizhongxin_aq;4.7;183.0;15.0;211.0;244.0;28.0;7;1;3;1;1;1;2017
2017-01-03 07:00:00;badaling_aq;0.3;18.0;87.0;56.0;13.0;11.0;7;1;3;1;1;1;2017
2017-01-03 08:00:00;aotizhongxin_aq;5.1;190.0;16.0;334.0;296.0;26.0;8;1;3;1;1;1;2017
2017-01-03 08:00:00;badaling_aq;0.3;29.0;77.0;42.0;22.0;13.0;8;1;3;1;1;1;2017
2017-01-03 09:00:00;aotizhongxin_aq;4.6;190.0;16.0;334.0;295.0;27.0;9;1;3;1;1;1;2017
2017-01-03 09:00:00;badaling_aq;0.4;45.0;62.0;55.0;24.0;16.0;9;1;3;1;1;1;2017
2017-01-03 10:00:00;aotizhongxin_aq;4.6;191.0;3.0;356.0;328.0;27.0;10;1;3;1;1;1;2017
2017-01-03 10:00:00;badaling_aq;0.7;99.0;2.0;73.0;35.0;27.0;10;1;3;1;1;1;2017
2017-01-03 11:00:00;aotizhongxin_aq;0.7;199.0;3.0;420.0;397.0;20.0;11;1;3;1;1;1;2017
