date;country;grocery_pharmacy;parks;residential;retail_recreation;transit_stations;workplaces;weekday;monthday;week;month;quarter;year
2020-02-15;South Korea;0.0;2.5;3.0;-6.0;-5.0;1.0;5;15;7;2;1;2020
2020-02-15;Thailand;1.0;-8.0;1.0;-3.0;-2.0;7.0;5;15;7;2;1;2020
2020-02-16;South Korea;0.0;-32.0;4.0;-13.0;-15.5;-3.0;6;16;7;2;1;2020
2020-02-16;Thailand;2.0;-5.0;2.0;-3.0;-4.0;2.0;6;16;7;2;1;2020
2020-02-17;South Korea;-6.0;-17.0;5.0;-8.0;-6.5;0.0;0;17;8;2;1;2020
2020-02-17;Thailand;1.0;-3.0;1.0;-3.0;-4.0;2.0;0;17;8;2;1;2020
2020-02-18;South Korea;-2.5;-4.0;2.0;0.0;-2.0;2.0;1;18;8;2;1;2020
2020-02-18;Thailand;0.0;-5.0;2.0;-3.0;-6.0;0.0;1;18;8;2;1;2020
2020-02-19;South Korea;-1.0;11.5;2.0;-6.0;-4.5;1.5;2;19;8;2;1;2020
2020-02-19;Thailand;-3.0;-3.0;1.0;-4.0;-6.0;0.0;2;19;8;2;1;2020
2020-02-20;South Korea;-3.5;8.5;2.0;-7.0;-6.0;1.5;3;20;8;2;1;2020
2020-02-20;Thailand;-2.0;-3.0;1.0;-4.0;-4.0;1.0;3;20;8;2;1;2020
2020-02-21;South Korea;-4.5;-8.5;5.0;-14.5;-9.0;0.5;4;21;8;2;1;2020
2020-02-21;Thailand;1.0;-4.0;2.0;-4.0;-5.0;1.0;4;21;8;2;1;2020
2020-02-22;South Korea;-5.0;-30.0;8.5;-25.0;-21.5;-3.0;5;22;8;2;1;2020
2020-02-22;Thailand;0.0;-12.0;2.0;-4.0;-6.0;4.0;5;22;8;2;1;2020
2020-02-23;South Korea;-16.5;-3.0;7.5;-29.0;-23.5;-8.0;6;23;8;2;1;2020
2020-02-23;Thailand;0.0;-7.0;2.0;-5.0;-8.0;2.0;6;23;8;2;1;2020
2020-02-24;South Korea;8.5;9.5;7.5;-20.0;-14.0;-5.0;0;24;9;2;1;2020
2020-02-24;Thailand;-1.0;-6.0;2.0;-4.0;-7.0;0.0;0;24;9;2;1;2020
2020-02-25;South Korea;-9.0;-31.0;9.5;-29.0;-22.5;-9.0;1;25;9;2;1;2020
2020-02-25;Thailand;3.0;-6.0;2.0;-2.0;-7.0;-2.0;1;25;9;2;1;2020
2020-02-26;South Korea;-5.5;8.5;9.0;-27.5;-21.0;-9.5;2;26;9;2;1;2020
2020-02-26;Thailand;0.0;-6.0;2.0;-3.0;-8.0;-1.0;2;26;9;2;1;2020
2020-02-27;South Korea;-7.5;8.5;9.0;-28.5;-22.5;-9.5;3;27;9;2;1;2020
2020-02-27;Thailand;-1.0;-7.0;2.0;-4.0;-8.0;-1.0;3;27;9;2;1;2020
2020-02-28;South Korea;-16.0;-36.0;13.0;-36.0;-28.5;-11.5;4;28;9;2;1;2020
2020-02-28;Thailand;5.0;-7.0;2.0;-1.0;-6.0;-1.0;4;28;9;2;1;2020
2020-02-29;South Korea;-7.0;-1.0;11.5;-36.5;-29.5;-9.0;5;29;9;2;1;2020
2020-02-29;Thailand;6.0;-14.0;1.0;-1.0;-7.0;5.0;5;29;9;2;1;2020
2020-03-01;South Korea;-5.5;-14.0;11.0;-40.5;-35.5;-15.5;6;1;9;3;1;2020
2020-03-01;Thailand;9.0;-9.0;1.0;-1.0;-8.0;3.0;6;1;9;3;1;2020
2020-03-02;South Korea;1.0;14.5;9.0;-22.5;-19.5;-8.0;0;2;10;3;1;2020
2020-03-02;Thailand;8.0;-7.0;2.0;1.0;-9.0;-2.0;0;2;10;3;1;2020
2020-03-03;South Korea;-5.0;6.0;8.0;-21.5;-19.0;-8.5;1;3;10;3;1;2020
2020-03-03;Thailand;5.0;-8.0;3.0;0.0;-10.0;-4.0;1;3;10;3;1;2020
2020-03-04;South Korea;-9.5;-9.5;10.0;-29.5;-25.0;-10.0;2;4;10;3;1;2020
2020-03-04;Thailand;2.0;-9.0;3.0;-1.0;-11.0;-4.0;2;4;10;3;1;2020
2020-03-05;South Korea;-10.0;2.0;9.0;-27.5;-24.0;-8.5;3;5;10;3;1;2020
