date;LEVEL3;ACTUAL;Europe_Business_confidence_index;Europe_Consumer_confidence_index;Germany_Business_confidence_index;Germany_Composite_leading_indicator;Germany_Consumer_confidence_index;Global_Business_confidence_index;Global_Consumer_confidence_index;month;quarter;year
2016-03-01;PF_A02;0;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_A03;296;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_A04;8;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_B05;145;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_B06;12;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_N55;92;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_O57;236;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_O58;4909;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_O59;60;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-03-01;PF_O60;87;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
2016-04-01;PF_A02;2;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_A03;269;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_A04;4;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_B05;142;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_B06;14;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_N55;79;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_O57;240;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_O58;5508;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_O59;54;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-04-01;PF_O60;86;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
2016-05-01;PF_A02;0;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_A03;289;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_A04;4;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_B05;151;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_B06;7;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_N55;81;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_O57;237;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_O58;4694;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_O59;113;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-05-01;PF_O60;89;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
2016-06-01;PF_A02;0;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_A03;250;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_A04;0;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
2016-06-01;PF_B05;145;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
