MATERIAL;date;ACTUAL;Europe..Business.confidence.index;Europe..Consumer.confidence.index;Germany..Business.confidence.index;Germany..Composite.leading.indicator;Germany..Consumer.confidence.index;Global..Business.confidence.index;Global..Consumer.confidence.index;month;quarter;year
C013234072;2016-03-01;90;100.6;100.9;100.4;99.5;101.1;99.9;100.4;3;1;2016
C013234072;2016-04-01;60;100.5;100.8;100.5;99.5;101.2;100.0;100.4;4;2;2016
C013234072;2016-05-01;60;100.5;100.8;100.6;99.5;101.3;100.1;100.4;5;2;2016
C013234072;2016-06-01;30;100.5;100.8;100.7;99.5;101.4;100.1;100.4;6;2;2016
C013234072;2016-07-01;90;100.5;100.8;100.7;99.5;101.4;100.1;100.4;7;3;2016
C013234072;2016-08-01;60;100.6;100.8;100.7;99.6;101.3;100.0;100.3;8;3;2016
C013234072;2016-09-01;0;100.7;101.0;100.7;99.7;101.3;100.1;100.4;9;3;2016
C013234072;2016-10-01;30;100.9;101.2;100.8;99.8;101.3;100.2;100.4;10;4;2016
C013234072;2016-11-01;30;101.0;101.4;100.9;99.9;101.4;100.4;100.5;11;4;2016
C013234072;2016-12-01;30;101.2;101.5;101.1;100.1;101.4;100.5;100.5;12;4;2016
C013234072;2017-01-01;120;101.4;101.5;101.2;100.2;101.4;100.6;100.5;1;1;2017
C013234072;2017-02-01;30;101.5;101.5;101.3;100.4;101.4;100.8;100.5;2;1;2017
C013234072;2017-03-01;60;101.6;101.5;101.5;100.6;101.5;100.8;100.7;3;1;2017
C013234072;2017-04-01;90;101.8;101.6;101.7;100.8;101.6;100.8;100.8;4;2;2017
C013234072;2017-05-01;60;101.9;101.7;101.9;100.9;101.8;100.9;100.8;5;2;2017
C013234072;2017-06-01;57;102.0;101.8;102.0;101.1;101.9;101.0;100.9;6;2;2017
C013234072;2017-07-01;90;102.2;102.0;102.1;101.2;101.9;101.2;100.9;7;3;2017
C013234072;2017-08-01;21;102.3;102.2;102.2;101.3;101.9;101.3;101.0;8;3;2017
C013234072;2017-09-01;60;102.5;102.3;102.3;101.4;101.8;101.4;101.0;9;3;2017
C013234072;2017-10-01;60;102.7;102.5;102.4;101.5;101.9;101.5;101.1;10;4;2017
C013234072;2017-11-01;60;102.8;102.7;102.5;101.5;101.9;101.5;101.1;11;4;2017
C013234072;2017-12-01;30;102.8;102.7;102.5;101.5;102.0;101.5;101.1;12;4;2017
C013234072;2018-01-01;0;102.8;102.7;102.5;101.5;102.0;101.5;101.1;1;1;2018
C013234072;2018-02-01;59;102.7;102.5;102.4;101.4;102.0;101.5;101.1;2;1;2018
C013234072;2018-03-01;90;102.5;102.3;102.3;101.3;102.0;101.4;101.2;3;1;2018
C013234072;2018-04-01;30;102.5;102.1;102.3;101.2;101.9;101.4;101.1;4;2;2018
C013234072;2018-05-01;90;102.4;102.0;102.2;101.1;101.8;101.4;101.1;5;2;2018
C013234072;2018-06-01;60;102.3;101.9;102.2;101.0;101.7;101.4;101.2;6;2;2018
C013234072;2018-07-01;30;102.2;101.9;102.1;100.9;101.6;101.3;101.2;7;3;2018
C013234072;2018-08-01;0;102.1;101.8;102.0;100.8;101.6;101.3;101.1;8;3;2018
C013234072;2018-09-01;60;102.0;101.8;101.9;100.7;101.6;101.1;101.1;9;3;2018
C013234072;2018-10-01;30;101.9;101.8;101.7;100.5;101.6;101.0;101.0;10;4;2018
