date;CSUSHPISA;MORTGAGE30US;UMCSENT;INTDSRUSM193N;MSPUS;GDP;MSACSR;PERMIT;TLRESCONS;EVACANTUSQ176N;quarter;year
2003-01-01;129.321;5.840769231;79.96666667;2.25;186000;11174.129;4.2;1806.333333;421328.6667;14908;1;2003
2003-04-01;131.756;5.506923077;89.26666667;2.166666667;191800;11312.766;3.833333333;1837.666667;429308.6667;15244;2;2003
2003-07-01;135.013;6.033846154;89.3;2.0;191900;11566.669;3.633333333;1937.333333;458890;15614;3;2003
2003-10-01;138.8356667;5.919285714;91.96666667;2.0;198800;11772.234;3.966666667;1972.333333;491437.3333;15654;4;2003
2004-01-01;143.2986667;5.5975;98.0;2.0;212700;11923.447;3.7;1994.666667;506856.3333;15895;1;2004
2004-04-01;148.209;6.106153846;93.33333333;2.083333333;217600;12112.815;3.9;2080;526483.3333;16079;2;2004
2004-07-01;152.7166667;5.894285714;95.6;2.5;213500;12305.307;4.3;2069.666667;552939;15656;3;2004
2004-10-01;157.5353333;5.736153846;93.86666667;3.0;228800;12527.214;4.1;2086;561413.3333;15361;4;2004
2005-01-01;163.4813333;5.768461538;94.06666667;3.5;232500;12767.286;4.266666667;2105;590790.3333;15748;1;2005
2005-04-01;169.3473333;5.708461538;90.2;4.0;233700;12922.656;4.266666667;2137.666667;611957;16061;2;2005
2005-07-01;174.58;5.763846154;87.5;4.5;236400;13142.642;4.466666667;2228.333333;642273.6667;15883;3;2005
2005-10-01;179.5393333;6.226153846;82.43333333;5.0;243600;13324.204;4.8;2169.333333;670433;15823;4;2005
2006-01-01;183.3243333;6.246923077;88.93333333;5.583333333;247700;13599.16;5.766666667;2157;680067.3333;16234;1;2006
2006-04-01;183.9973333;6.602307692;83.8;6.0;246300;13753.424;6.266666667;1923.333333;639389;16513;2;2006
2006-07-01;182.8193333;6.56;84.03333333;6.25;235600;13870.188;6.9;1713.333333;591320.6667;16769;3;2006
2006-10-01;183.6493333;6.243846154;92.46666667;6.25;245400;14039.56;6.8;1581;558263.6667;16894;4;2006
2007-01-01;184.422;6.214615385;92.2;6.25;257400;14215.651;7.666666667;1606.666667;539003.6667;17724;1;2007
2007-04-01;181.6213333;6.358461538;86.9;6.25;242200;14402.082;7.8;1456.666667;521924;17547;2;2007
2007-07-01;178.2613333;6.551538462;85.73333333;5.75;241800;14564.117;8.9;1314.333333;488432.3333;18049;3;2007
2007-10-01;175.37;6.224615385;77.5;4.916666667;238400;14715.058;9.166666667;1188.333333;439296;17910;4;2007
2008-01-01;171.5756667;5.872307692;72.9;3.166666667;233900;14706.538;9.833333333;1025;400027.3333;18642;1;2008
2008-04-01;166.6723333;6.086923077;59.6;2.25;235300;14865.701;10.56666667;1061;388045.3333;18701;2;2008
2008-07-01;161.9543333;6.322307692;64.83333333;2.25;226500;14898.999;10.9;858.6666667;360447.6667;18651;3;2008
2008-10-01;156.0286667;5.841428571;57.66666667;1.0;222500;14608.208;11.4;638.6666667;319480;18973;4;2008
2009-01-01;150.06;5.06;58.26666667;0.5;208400;14430.901;11.23333333;538.6666667;276721.3333;19137;1;2009
2009-04-01;147.9113333;5.012307692;68.2;0.5;220900;14381.236;9.5;559.3333333;246953.3333;18752;2;2009
2009-07-01;148.237;5.162307692;68.4;0.5;214300;14448.882;7.733333333;606.6666667;257975;18996;3;2009
2009-10-01;147.97;4.922142857;70.16666667;0.5;219000;14651.248;7.666666667;623.3333333;263932.3333;19006;4;2009
2010-01-01;146.295;4.995833333;73.86666667;0.666666667;222900;14764.611;7.833333333;657.6666667;263516.3333;19126;1;2010
