date;% WEIGHTED ILI;%UNWEIGHTED ILI;AGE 0-4;AGE 5-24;ILITOTAL;NUM. OF PROVIDERS;OT;week;month;quarter;year
2002-01-01;1.22262;1.16668;582;805;2060;754;176569;1;1;1;2002
2002-01-08;1.33344;1.2165;683;872;2267;785;186355;2;1;1;2002
2002-01-15;1.31929;1.13057;642;878;2176;831;192469;3;1;1;2002
2002-01-22;1.49484;1.25246;728;1045;2599;863;207512;4;1;1;2002
2002-01-29;1.47195;1.30237;823;1189;2907;909;223208;5;1;1;2002
2002-02-05;1.58094;1.40551;887;1272;3225;930;229454;6;2;1;2002
2002-02-12;1.49426;1.38437;851;1173;3097;923;223712;7;2;1;2002
2002-02-19;1.40569;1.32563;802;1166;2967;922;223818;8;2;1;2002
2002-02-26;1.6141;1.43475;834;978;2709;918;188814;9;2;1;2002
2002-03-05;1.45967;1.25433;857;1117;3049;937;243078;10;3;1;2002
2002-03-12;1.59896;1.25757;804;1179;2957;928;235136;11;3;1;2002
2002-03-19;2.16697;1.58017;951;1404;3416;908;216179;12;3;1;2002
2002-03-26;2.57842;1.98008;915;937;2857;865;144287;13;3;1;2002
2002-04-02;2.38636;1.90428;1028;1019;3260;879;171193;14;4;2;2002
2002-04-09;1.7362099999999998;1.5901;1068;1296;3729;926;234513;15;4;2;2002
2002-04-16;2.06296;1.81559;1154;1798;4204;902;231550;16;4;2;2002
2002-04-23;2.58113;2.41801;1373;2998;5696;927;235566;17;4;2;2002
2002-04-30;2.93909;2.86635;1411;4064;7079;884;246969;18;4;2;2002
2002-05-07;3.22539;3.16662;1606;4447;7782;889;245751;19;5;2;2002
2002-05-14;3.06982;3.0155;1568;4224;7649;903;253656;20;5;2;2002
2002-05-21;3.20044;2.9978;1694;3689;7228;871;241110;21;5;2;2002
2002-05-28;2.44888;2.31957;1336;2583;5606;857;241683;22;5;2;2002
2002-06-04;2.1344;1.94707;1015;2103;4450;839;228549;23;6;2;2002
2002-06-11;1.99866;1.72985;880;1669;3810;835;220250;24;6;2;2002
2002-06-18;1.93849;1.51837;737;1321;2987;795;196724;25;6;2;2002
2002-06-25;1.41293;1.22616;624;1016;2439;775;198913;26;6;2;2002
2002-07-02;1.23472;1.05433;506;846;2028;741;192349;27;7;3;2002
2002-07-09;1.20005;1.07108;569;799;2082;735;194383;28;7;3;2002
2002-07-16;0.910135;0.8261200000000001;440;539;1467;669;177577;29;7;3;2002
2002-07-23;0.932265;0.8205049999999999;429;508;1445;682;176111;30;7;3;2002
2002-07-30;0.692175;0.630846;275;444;1075;655;170406;31;7;3;2002
2002-08-06;0.6694060000000001;0.63935;215;471;1005;613;157191;32;8;3;2002
2002-08-13;0.727705;0.586609;248;283;836;547;142514;33;8;3;2002
2002-08-20;0.717701;0.7730239999999999;264;262;740;406;95728;34;8;3;2002
2002-08-27;0.7893939999999999;0.790743;213;205;641;393;81063;35;8;3;2002
2002-09-03;0.722129;0.711847;201;195;563;344;79090;36;9;3;2002
2002-09-10;0.591326;0.794637;198;187;620;341;78023;37;9;3;2002
2002-09-17;0.52307;0.586604;139;123;423;322;72110;38;9;3;2002
2002-09-24;0.4502359999999999;0.6159819999999999;122;124;441;322;71593;39;9;3;2002
2002-10-01;0.397421;0.4915069999999999;109;91;318;310;64699;40;10;4;2002
2002-10-08;0.448002;0.604341;137;141;441;308;72972;41;10;4;2002
2002-10-15;0.474767;0.524478;98;98;365;301;69593;42;10;4;2002
2002-10-22;0.453251;0.590692;112;139;420;302;71103;43;10;4;2002
2002-10-29;0.3521579999999999;0.505135;100;120;361;290;71466;44;10;4;2002
2002-11-05;0.5253220000000001;0.634271;136;125;443;295;69844;45;11;4;2002
2002-11-12;0.492991;0.610118;120;131;421;283;69003;46;11;4;2002
2002-11-19;0.542728;0.641227;159;144;450;277;70178;47;11;4;2002
2002-11-26;0.490347;0.661429;166;155;463;276;70000;48;11;4;2002
2002-12-03;0.7359140000000001;0.7926810000000001;177;182;519;271;65474;49;12;4;2002
2002-12-10;0.581771;0.639059;145;184;475;267;74328;50;12;4;2002
2002-12-17;0.654162;0.636732;136;183;461;264;72401;51;12;4;2002
2002-12-24;0.749504;0.747829;135;221;533;268;71273;52;12;4;2002
2002-12-31;0.884021;0.960873;808;881;2442;830;254144;1;12;4;2002
2003-01-07;1.02773;1.04325;913;1132;2932;931;281045;2;1;1;2003
2003-01-14;1.28296;1.0545;878;1147;3031;974;287436;3;1;1;2003
2003-01-21;1.32661;1.11231;1006;1369;3475;1007;312412;4;1;1;2003
2003-01-28;1.7730400000000002;1.41274;1207;2080;4690;1074;331980;5;1;1;2003
2003-02-04;2.43814;1.7270299999999998;1542;2735;5790;1111;335258;6;2;1;2003
2003-02-11;2.72605;2.407;2185;4133;8385;1141;348359;7;2;1;2003
2003-02-18;3.73192;3.10962;2561;5684;11141;1129;358275;8;2;1;2003
2003-02-25;4.54894;4.30779;3247;4933;11742;1118;272576;9;2;1;2003
2003-03-04;5.39906;4.8303;4734;7817;18948;1189;392274;10;3;1;2003
2003-03-11;7.38735;6.42905;6620;11550;24962;1173;388269;11;3;1;2003
2003-03-18;7.48097;6.86734;6434;9851;23699;1148;345097;12;3;1;2003
2003-03-25;7.627969999999999;7.064960000000001;5336;5231;16415;1122;232344;13;3;1;2003
2003-04-01;5.14051;4.55115;3391;2894;11332;1139;248992;14;4;2;2003
2003-04-08;2.89129;2.41833;1930;2299;7602;1160;314349;15;4;2;2003
2003-04-15;2.10429;1.80906;1679;1857;5583;1141;308614;16;4;2;2003
2003-04-22;1.88696;1.71202;1721;1604;4961;1084;289774;17;4;2;2003
2003-04-29;1.7766;1.5425;1487;1543;4436;1071;287586;18;4;2;2003
2003-05-06;1.46001;1.43787;1454;1448;4251;1054;295646;19;5;2;2003
2003-05-13;1.3778700000000002;1.32427;1420;1297;3824;986;288762;20;5;2;2003
2003-05-20;1.30532;1.30726;1301;1255;3691;1004;282347;21;5;2;2003
2003-05-27;1.08691;1.03698;956;1038;2916;948;281202;22;5;2;2003
2003-06-03;0.991888;1.01032;925;910;2744;894;271597;23;6;2;2003
2003-06-10;1.02765;1.05249;878;888;2708;897;257294;24;6;2;2003
2003-06-17;1.0579;1.02009;730;826;2487;849;243802;25;6;2;2003
2003-06-24;0.849361;0.924419;760;733;2300;859;248805;26;6;2;2003
2003-07-01;0.7471270000000001;0.7906449999999999;610;611;1858;828;234998;27;7;3;2003
2003-07-08;0.661708;0.80261;583;566;1705;774;212432;28;7;3;2003
2003-07-15;0.6795140000000001;0.8361299999999999;545;573;1749;755;209178;29;7;3;2003
2003-07-22;0.633071;0.7924359999999999;501;511;1615;679;203802;30;7;3;2003
2003-07-29;0.569894;0.683588;470;404;1331;658;194708;31;7;3;2003
2003-08-05;0.591357;0.757452;435;491;1394;629;184038;32;8;3;2003
2003-08-12;0.589044;0.7885850000000001;449;443;1327;599;168276;33;8;3;2003
2003-08-19;0.6786399999999999;0.812171;451;380;1262;553;155386;34;8;3;2003
2003-08-26;0.637558;0.804463;375;349;1070;463;133008;35;8;3;2003
2003-09-02;0.8133090000000001;0.8777010000000001;391;308;1061;452;120884;36;9;3;2003
2003-09-09;0.834551;0.741453;355;309;987;443;133117;37;9;3;2003
2003-09-16;0.616174;0.661022;307;240;851;426;128740;38;9;3;2003
2003-09-23;0.513286;0.715109;277;284;887;423;124037;39;9;3;2003
2003-09-30;0.351881;0.562241;238;183;698;408;124146;40;9;3;2003
2003-10-07;0.542621;0.786808;233;205;710;381;90238;41;10;4;2003
2003-10-14;0.581036;0.860658;249;280;836;378;97135;42;10;4;2003
2003-10-21;0.495486;0.689944;259;200;659;370;95515;43;10;4;2003
2003-10-28;0.6120899999999999;0.779691;260;230;719;363;92216;44;10;4;2003
2003-11-04;0.5314909999999999;0.6281439999999999;213;235;733;345;116693;45;11;4;2003
2003-11-11;0.519987;0.902459;243;256;809;334;89644;46;11;4;2003
2003-11-18;0.574476;0.806443;256;256;770;335;95481;47;11;4;2003
2003-11-25;0.663175;0.8748879999999999;259;265;799;333;91326;48;11;4;2003
2003-12-02;0.614691;0.993213;279;358;960;326;96656;49;12;4;2003
2003-12-09;0.6568229999999999;0.876141;281;309;913;337;104207;50;12;4;2003
2003-12-16;0.723016;0.948092;342;413;1122;341;118343;51;12;4;2003
2003-12-23;0.6918569999999999;0.926943;322;416;1089;336;117483;52;12;4;2003
2003-12-30;0.782758;0.971643;333;382;1116;364;114857;1;12;4;2003
2004-01-06;0.982275;0.897159;877;1256;3171;1176;353449;2;1;1;2004
2004-01-13;1.01821;1.0224799999999998;1071;1373;3631;1187;355116;3;1;1;2004
2004-01-20;1.1768;1.06296;1240;1534;4019;1267;378094;4;1;1;2004
2004-01-27;1.30121;1.14696;1190;1671;4369;1293;380921;5;1;1;2004
2004-02-03;1.27746;1.20495;1327;1718;4551;1302;377692;6;2;1;2004
2004-02-10;1.4038700000000002;1.3051700000000002;1497;1874;4969;1344;380718;7;2;1;2004
2004-02-17;1.40301;1.28699;1531;1874;4983;1336;387182;8;2;1;2004
2004-02-24;1.73975;1.59468;1490;1678;4713;1341;295546;9;2;1;2004
2004-03-02;1.56894;1.39714;1538;2059;5407;1369;387004;10;3;1;2004
2004-03-09;1.65927;1.44996;1551;2052;5428;1346;374356;11;3;1;2004
2004-03-16;1.81341;1.61745;1670;2071;5755;1379;355806;12;3;1;2004
2004-03-23;2.37626;2.19112;1856;1807;5689;1288;259639;13;3;1;2004
2004-03-30;2.77052;2.56649;2252;1993;7279;1332;283617;14;3;1;2004
2004-04-06;2.40064;2.17645;2010;2450;8041;1383;369455;15;4;2;2004
2004-04-13;2.54155;2.20171;2188;2982;8323;1342;378024;16;4;2;2004
2004-04-20;2.85871;2.53012;2199;3682;9328;1348;368678;17;4;2;2004
2004-04-27;3.55011;3.06524;2747;5364;12422;1334;405254;18;4;2;2004
2004-05-04;4.58591;3.98061;3086;7650;16192;1303;406772;19;5;2;2004
2004-05-11;5.05809;4.595680000000001;3626;8854;19369;1324;421461;20;5;2;2004
2004-05-18;5.44151;4.75197;3834;8400;19931;1330;419426;21;5;2;2004
2004-05-25;4.4729;4.17962;3720;6759;16630;1280;397883;22;5;2;2004
2004-06-01;3.6752;3.45359;2997;5343;13234;1268;383196;23;6;2;2004
2004-06-08;3.3353;3.15852;2728;4494;11601;1227;367292;24;6;2;2004
2004-06-15;2.7622400000000003;2.6732;2416;3513;9502;1185;355454;25;6;2;2004
2004-06-22;2.46844;2.35161;2145;2771;7900;1148;335940;26;6;2;2004
2004-06-29;2.00081;1.89243;1827;2133;6329;1103;334438;27;6;2;2004
2004-07-06;1.54319;1.5249;1422;1737;4816;1048;315823;28;7;3;2004
2004-07-13;1.50195;1.41134;1356;1603;4445;1000;314948;29;7;3;2004
2004-07-20;1.22918;1.25068;1096;1469;3825;978;305833;30;7;3;2004
2004-07-27;1.21854;1.20702;1117;1411;3646;971;302065;31;7;3;2004
2004-08-03;1.15832;1.07895;903;1136;2990;923;277120;32;8;3;2004
2004-08-10;1.249;1.14521;979;1115;3012;878;263009;33;8;3;2004
2004-08-17;1.16888;1.06124;805;926;2531;825;238494;34;8;3;2004
2004-08-24;1.0788799999999998;1.0568;687;695;2056;687;194550;35;8;3;2004
2004-08-31;1.23059;1.25193;693;678;2099;637;167661;36;8;3;2004
2004-09-07;1.14747;1.01419;548;594;1744;603;171960;37;9;3;2004
2004-09-14;1.00254;1.04197;573;507;1614;582;154899;38;9;3;2004
2004-09-21;0.957569;0.954027;580;507;1628;587;170645;39;9;3;2004
2004-09-28;0.8948370000000001;0.8482299999999999;497;452;1359;550;160216;40;9;3;2004
2004-10-05;0.798205;0.841872;426;390;1198;533;142302;41;10;4;2004
2004-10-12;0.757812;0.7308939999999999;389;361;1148;524;157068;42;10;4;2004
2004-10-19;0.8259629999999999;0.713432;333;364;1068;507;149699;43;10;4;2004
2004-10-26;0.744927;0.6706770000000001;328;327;990;492;147612;44;10;4;2004
2004-11-02;0.787049;0.689278;331;326;982;488;142468;45;11;4;2004
2004-11-09;0.684724;0.704929;319;350;1023;479;145121;46;11;4;2004
